Texture_Contrast_Nuclei_3_00_256,AreaShape_Area,Intensity_MeanIntensityEdge_Nuclei,Texture_DifferenceEntropy_Nuclei_3_00_256,Intensity_MaxIntensityEdge_Nuclei,AreaShape_Eccentricity,Intensity_StdIntensityEdge_Nuclei,Intensity_LowerQuartileIntensity_Nuclei,Texture_Correlation_Nuclei_3_02_256,AreaShape_Zernike_4_2,Texture_InfoMeas1_Nuclei_3_02_256,Intensity_MeanIntensity_Nuclei,Intensity_StdIntensity_Nuclei,AreaShape_Zernike_0_0,Texture_InfoMeas1_Nuclei_3_03_256,Texture_Contrast_Nuclei_3_01_256,AreaShape_MaximumRadius,Intensity_MinIntensityEdge_Nuclei,AreaShape_BoundingBoxMaximum_X,AreaShape_Zernike_4_0,Intensity_MinIntensity_Nuclei,Intensity_MADIntensity_Nuclei,Texture_Correlation_Nuclei_3_00_256,Texture_AngularSecondMoment_Nuclei_3_00_256,Intensity_IntegratedIntensityEdge_Nuclei,Intensity_IntegratedIntensity_Nuclei,AreaShape_Compactness,AreaShape_BoundingBoxMaximum_Y,AreaShape_Zernike_3_1,Intensity_MassDisplacement_Nuclei,AreaShape_Zernike_2_0,AreaShape_Zernike_5_3,Intensity_MaxIntensity_Nuclei,AreaShape_Zernike_7_5,AreaShape_MinFeretDiameter,Texture_Correlation_Nuclei_3_03_256,CellType
18.51421608,1419,0.017315644,3.252309195,0.03251569,0.86937717,0.00402973,0.027991766,0.54219544,0.056124642,-0.087160454,0.043033848,0.018357616,0.483282706,-0.057060201,24.9318569,12.04159458,0.00989608,903,0.017236058,0.00989608,0.014985487,0.537082421,0.011312156,2.943659513,72.88038352,2.239238367,139,0.012371677,1.864103798,0.119590548,0.014068246,0.071817264,0.017639563,38.20450533,0.388220904,M1
16.02891326,1144,0.018657196,3.159107112,0.034777649,0.830039242,0.004786007,0.029688237,0.307222489,0.05121995,-0.043870101,0.043231334,0.017093911,0.53374351,-0.044679238,26.21336207,11.66190379,0.008199609,568,0.005957726,0.008199609,0.013289023,0.534549801,0.009486993,2.649321831,72.84051708,1.879300295,137,0.017455777,0.958199654,0.151411991,0.014417808,0.071817264,0.014315582,31.37858162,0.227015671,M1
22.26492537,931,0.018254237,3.151896214,0.034777649,0.600772794,0.004803352,0.033363923,0.592310975,0.013744162,-0.132232311,0.052852991,0.02089066,0.635936704,-0.083474004,27.31841432,14.86606875,0.00989608,965,0.033047947,0.00989608,0.010461576,0.500604995,0.130078773,1.953203331,72.63863648,1.323451812,148,0.023188917,0.62381397,0.19088098,0.021898926,0.071817264,0.005371792,31.7771167,0.344206575,M1
18.06914498,1485,0.023146631,3.249953164,0.064183146,0.833606764,0.011902725,0.035696573,0.396017084,0.038295278,-0.067694872,0.048338944,0.017194506,0.521237927,-0.042654181,25.66207455,17.2626765,0.008482354,155,0.007433342,0.008482354,0.013854511,0.465850802,0.016212877,3.402554824,71.78333256,1.590259509,171,0.03341132,0.95509208,0.152492736,0.027011899,0.071817264,0.009671719,35.8701039,0.255780245,M1
16.02181401,1011,0.017905785,3.160389737,0.031101963,0.720422492,0.004386635,0.026578041,0.46902991,0.029204608,-0.074870685,0.038580307,0.015663508,0.582897918,-0.049750998,22.85130112,10.44030651,0.009047844,435,0.048875753,0.009047844,0.010744317,0.472601353,0.007469936,2.399375133,71.23848244,1.883994193,177,0.049018067,0.363487325,0.112535864,0.025378242,0.071817264,0.006996803,32.46559099,0.265677797,M1
19.08264463,1107,0.018721766,3.270042795,0.031101963,0.704662431,0.00469738,0.029970981,0.641220048,0.014692979,-0.121998287,0.044646145,0.017508588,0.658326098,-0.069468752,21.65138593,15.03329638,0.009330589,992,0.036932443,0.009330589,0.014420001,0.461956806,0.00848911,2.096837847,69.57056939,1.215210224,183,0.025206828,0.570204825,0.185622535,0.01316892,0.071817264,0.005743383,30.9208273,0.421641134,M1
14.73559823,791,0.019279384,3.083893383,0.03534314,0.90303242,0.004935729,0.024881572,0.236462227,0.039800917,-0.053301448,0.035037161,0.013072004,0.438071637,-0.04461084,20.72283465,9.219544457,0.009330589,838,0.02661344,0.009330589,0.008765098,0.311535156,0.00944518,2.274967288,69.03731177,1.889713504,194,0.066125878,0.217304204,0.092712877,0.018802857,0.071817264,0.004702578,23.24952775,0.033116274,M1
15.71044467,1099,0.018687536,3.134787256,0.033363923,0.629229537,0.004295302,0.026295297,0.431071728,0.01185112,-0.058860289,0.039031691,0.015718831,0.713741198,-0.03407401,20.86550976,13.34166406,0.01215804,46,0.025146171,0.01215804,0.01187529,0.490596716,0.006580122,2.20512923,68.9844389,1.376604463,204,0.011201604,0.775584884,0.1444087,0.022455143,0.071817264,0.021703874,35.50721551,0.194716473,M1
4.482059282,771,0.018123458,2.296832052,0.030819217,0.869333911,0.004334229,0.018661179,0.229247238,0.060489151,-0.038793806,0.02289172,0.006086326,0.52383548,-0.019220406,4.579734219,10.63014581,0.010178825,564,0.003115351,0.010178825,0.003534313,0.097978403,0.040616383,2.029827259,68.65362681,1.795181898,204,0.014465856,0.492637505,0.133904428,0.00742037,0.051176868,0.006032705,24.55887745,0.101944691,M1
12.29234973,836,0.021756091,2.995138098,0.042977259,0.766707811,0.007870133,0.031667456,0.428399652,0.03339221,-0.094290731,0.045257484,0.01762803,0.519233297,-0.088841895,22.61769115,11.18033989,0.01046157,186,0.006026033,0.01046157,0.013571765,0.659106514,0.024971819,2.414926127,67.9136828,1.661702017,205,0.026612672,0.37461746,0.170020577,0.030869427,0.071817264,0.013138713,30.39800095,0.41138809,M1
15.86672474,1265,0.017965379,3.146458089,0.027709022,0.360284402,0.003736794,0.029970981,0.593442261,0.011526246,-0.119044463,0.044511235,0.018272548,0.863904118,-0.085232808,20.9562443,18.60107524,0.009613334,626,0.068503374,0.009613334,0.013995886,0.605077335,0.022129836,2.066018632,67.79012314,1.095806814,208,0.011703155,1.797530306,0.109703363,0.01013297,0.071817264,0.005346388,38.0,0.489143781,M1
