AreaShape_Area,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_Extent,AreaShape_MajorAxisLength,AreaShape_MaximumRadius,AreaShape_MinFeretDiameter,AreaShape_Orientation,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Intensity_IntegratedIntensityEdge_Nuclei,Intensity_IntegratedIntensity_Nuclei,Intensity_LowerQuartileIntensity_Nuclei,Intensity_MADIntensity_Nuclei,Intensity_MassDisplacement_Nuclei,Intensity_MaxIntensityEdge_Nuclei,Intensity_MaxIntensity_Nuclei,Intensity_MeanIntensityEdge_Nuclei,Intensity_MeanIntensity_Nuclei,Intensity_MinIntensityEdge_Nuclei,Intensity_StdIntensityEdge_Nuclei,Intensity_StdIntensity_Nuclei,Texture_AngularSecondMoment_Nuclei_3_00_256,Texture_Contrast_Nuclei_3_00_256,Texture_Contrast_Nuclei_3_01_256,Texture_Contrast_Nuclei_3_02_256,Texture_Contrast_Nuclei_3_03_256,Texture_Correlation_Nuclei_3_00_256,Texture_Correlation_Nuclei_3_01_256,Texture_Correlation_Nuclei_3_02_256,Texture_Correlation_Nuclei_3_03_256,Texture_DifferenceEntropy_Nuclei_3_00_256,Texture_DifferenceVariance_Nuclei_3_00_256,Texture_Entropy_Nuclei_3_00_256,Texture_InfoMeas1_Nuclei_3_00_256,Texture_InfoMeas1_Nuclei_3_01_256,Texture_InfoMeas1_Nuclei_3_02_256,Texture_InfoMeas1_Nuclei_3_03_256,CellType
880,467,442,1.2484309566244454,0.8148599540345811,0.8058608058608059,44.47375151979626,12.16552506059644,24.282180902716817,-5.016795040499571,0.6503384279165626,0.0318035140778621,0.1495186397519777,0.0108568547475559,0.0119266180533859,0.0043010842141876,0.0250337817003382,0.0168345765393867,0.0063559340710194,0.006461596385079,0.0054890518484631,0.0024689537345432,0.0181488445234641,0.024915589158987,0.0033561896733664,0.0036803002268643,0.0112083156704334,0.0092342960959013,0.005704800087066,0.0098167618213069,0.0068764959423766,0.0109091058426925,0.015275041278327,0.0035588443419828,0.0026104058047838,0.0002083166434718,0.0058143895782339,0.0031410772418382,0.0015804201452323,1.9218186335638163,35.92983671557158,0.0288400016725063,0.0113098081201314,0.6130285419920057,0.0274262763559818,0.0718172639608383,0.018658433335571,0.0408293599040586,0.01046156976372,0.0035066716310312,0.0150663557731912,0.0076066460750445,16.5053050397878,21.05849582172702,10.54981084489281,17.643741403026137,0.3817304382979211,0.226490238359474,0.6192646987593096,0.3489141848426006,3.1552674816782917,0.0042692966159317,7.369420614402018,-0.0603737715404183,-0.0471875838350255,-0.1198409543488163,-0.0623446158193943,M1
1022,265,270,1.179042521271828,0.6217880564841709,0.7077562326869806,41.21776041080212,15.524174696260024,32.08493881822236,-52.57591615994011,0.7996439030740267,0.0409972521395085,0.1223961875857229,0.0155406313317874,0.0277030438078026,0.038695798052057,0.0192796209076137,0.0149240757694535,0.0092642630795721,0.0195080447356072,0.007173832244632,0.0017281180394898,0.0129556977995227,0.0086030639025934,0.0042162999576644,0.0053997885806639,0.0167564412250024,0.0070133114903642,0.0119615262000378,0.000377824784891,0.0078813701288508,0.0104118591431855,0.0052585754119145,0.0089428228818434,0.0077857639406258,0.0042372713643716,0.0075708544492709,0.002530591166916,0.0026199609089031,1.31504757842049,35.53512459574267,0.0216300021857023,0.0101788230240345,1.1690884120093197,0.026860786601901,0.0718172639608383,0.0126446882540431,0.0347701806220574,0.0031101964414119,0.0050267158795151,0.0181364975512698,0.0121648731782103,11.714757709251105,20.857814336075204,18.79603087100331,23.93835616438356,0.7169178814877439,0.5138337984745228,0.5441114251882474,0.4299695250919009,2.943449991208503,0.0054056911932279,7.063541625069702,-0.1549778572298656,-0.10132199155491,-0.1000683660501705,-0.0744500359743923,M1
1247,82,867,1.5254564552356422,0.7477537884919028,0.6878102592388307,50.97315459659025,13.0,34.109552012032324,-10.078727985902246,0.6557434932705595,0.0449929109632966,0.1429151334962786,0.0191045888749087,0.0246336184812121,0.0186671017779936,0.0325697871494688,0.0220283442028929,0.0029047350404729,0.010230904498559,0.0182812285136215,0.0057844903716452,0.0146695262410976,0.0301431208276843,0.0087389237809432,0.0068972012876174,0.0164529306980126,0.0078752636815026,0.0156160246721819,0.0004443414922397,0.0074917864379748,0.009970717034499,0.0075736983489999,0.0040703655417226,0.0064067365487882,0.0012515920422068,0.0024184025178832,0.0022529664590718,0.008827324927734,1.5712146540172398,48.58041905285791,0.0251643154770135,0.0132890231907367,0.4345685288838934,0.026860786601901,0.0718172639608383,0.011994004992498,0.0389578340439919,0.0053721573203802,0.0033554948370667,0.017873760184637,0.0077334534454269,15.01544050862852,22.710298363811354,15.75497287522604,21.46320754716981,0.5938207356920343,0.3965285128824481,0.5781933025512851,0.4345492569127963,3.091151110275801,0.0048829381373838,7.4928396686900385,-0.1190111899154078,-0.0660020309439569,-0.1039296676334836,-0.0698072740376936,M1
737,915,318,1.5179644851927558,0.873476856222535,0.6299145299145299,45.1963605861985,11.31370849898476,24.66576574931336,-1.692333515261624,0.4785222074278668,0.0172232911986745,0.1703088013422297,0.0231946977887504,0.009678300923162,0.0319980320586758,0.0357853936549169,0.0424419048304905,0.006483562258184,0.0190841455448316,0.0018210393196216,0.0050547812283265,0.0093101604685811,0.0175356384943761,0.0202374491718351,0.0111096918742587,0.0174194883596428,0.0008857642551653,0.0031924524654005,0.0126130407934091,0.0104331701897147,0.0049226907625191,0.0037032065786353,0.0091128525240502,0.0064315850488801,0.0102268417560162,0.002352406952077,0.0021909646122788,0.0031716559636643,1.1810263879597187,29.27147184126079,0.0271435305476188,0.0124407820403575,0.3256926841371377,0.0229023545980453,0.0718172639608383,0.0115786900780364,0.0397170581292548,0.0050894124433398,0.0040847941033236,0.018165566778649,0.006186465933047,33.98006644518272,32.37693631669536,15.594180704441044,33.52299829642249,0.0757185737866243,0.1582172340013124,0.5911743822740512,0.1247774434620427,3.636027056194675,0.0020648815400489,7.628308543261851,-0.0533800649186343,-0.0585865980522293,-0.1308328802953301,-0.048004133735652,M1
739,334,514,1.1611283963325811,0.7677728728923815,0.7778947368421053,38.479267190693314,12.041594578792296,24.0,7.424908339405538,0.6749813655375073,0.0435668735293782,0.1637267135425197,0.0139583996017858,0.0165556438724222,0.0201904272768308,0.0116230990267055,0.0215920964890768,0.0145225018899971,0.0135951400618718,0.0063411146018089,0.011957200615953,0.0229025432534115,0.0158354509754884,0.0062373110829443,0.009573803471342,0.0093360176523137,0.0096336163891212,0.0012473297066652,0.0020429050159827,0.0052261753902942,0.0062884870715781,0.0117643934555865,0.0028952818371245,0.003179363704434,0.0062846531062925,0.0047525091476965,0.006315393159002,0.0021953000516543,1.0402193104382604,35.851233827648684,0.0324450032785534,0.0189439263194799,0.4927414786843283,0.0251643154770135,0.0718172639608383,0.0114309814333874,0.0485131716206342,0.0022619611117988,0.0048117167362918,0.0210940507018978,0.0394359440231093,26.1517571884984,28.79736408566721,17.658646616541354,33.26767676767676,0.4139690069211806,0.3719557758219814,0.6302965651588458,0.2649156391688113,3.4460028179353586,0.0033661221740417,6.677482449333535,-0.1126607085781817,-0.0883467740558108,-0.1522542885011663,-0.0733912640629789,M1
908,65,248,1.0847809941753317,0.6480371267881719,0.8239564428312159,38.99250473958721,14.560219778561036,28.0,86.95988423393898,0.7973113838755362,0.0163149664959017,0.1361594193761017,0.007163310827249,0.0043683472557993,0.0511495264162213,0.0213046926342286,0.0076292360223717,0.0086168565873706,0.0052437119291503,0.004868870435923,0.0019042644748444,0.0148694578143417,0.0197866433876847,0.0039768596658828,0.0040078502022335,0.0022309564678913,0.004223481335081,0.0072635792466465,0.0113630033837454,0.0139908709386138,0.0088264355374231,0.0036039305211883,0.0032676520761978,0.0037188607738099,0.001771712753646,0.0046519974497794,0.0027012695968131,0.004400619681536,1.0608597078826278,34.77934688120149,0.0288400016725063,0.0093305930495262,0.3646694441614774,0.0234678462147712,0.0718172639608383,0.0108250990600268,0.0383032454638783,0.0036756864283233,0.0038967446364991,0.0155838024081982,0.0081107825785078,15.432399512789278,24.10276679841897,21.11712846347607,24.22427440633245,0.4322286920715606,0.0885559806509438,0.2148509435900133,0.1047656782149341,3.112146695042433,0.0044633516276603,7.381324560526687,-0.0728836081045269,-0.0430779024209857,-0.051266121964848,-0.048343457758822,M1
708,515,401,1.0996439961424145,0.5741819315806815,0.7436974789915967,33.291126910018846,13.601470508735444,26.9614339180786,-78.98267260048102,0.8149445960003345,0.0397386959687323,0.1300829322237588,0.0172526005585943,0.0253188764097276,0.0562874292803638,0.0199789308262864,0.0071193250010922,0.0030776132537611,0.0074408683820434,0.0117478066433313,0.0046995588299995,0.0112432910243009,0.0051633684705082,0.0072234539002062,0.0071696325320974,0.0109235100563051,0.0101851540652061,0.0025375199167295,0.0101017281457016,0.0144042479818495,0.002110789742778,0.0064277268064453,0.00214230896911,0.0044074953792245,0.0027116677107492,0.0025226681366988,0.0062250458946891,0.0029934950310308,0.9692502855323256,32.39778470573947,0.0291227474808692,0.0175302028656005,0.5386520908904396,0.0282745119184255,0.0718172639608383,0.0115386938753848,0.0457595829177111,0.004241176880896,0.0038125625318408,0.0206077715989166,0.0157696,19.846400000000003,36.485165794066326,25.322899505766063,29.456410256410265,0.5672693172874586,0.1836715752115407,0.4340021117402446,0.368382746752352,3.2973407866438493,0.0036990368975069,7.159536505097346,-0.1206796785058791,-0.0736194928865789,-0.0870077650208417,-0.0963808625045382,M1
708,428,963,1.3307728860958254,0.5281653190607024,0.5959595959595959,33.85288260950844,12.041594578792296,28.811762303941485,-86.32683160861858,0.7205746539307043,0.0527125035130647,0.144837756800039,0.0084845353823986,0.048967708669399,0.025987373523376,0.0081084151335876,0.0475821457293352,0.0204435108476129,0.0323848980581723,0.0128132599847196,0.0029361914406772,0.0026758367437338,0.0086963737474738,0.0235421935449683,0.0026517157806223,0.0113082043383655,0.0058956453212498,0.0059599099231208,4.899122105735355e-05,0.0095210994357714,0.004683290345375,0.0105369386439215,0.0057607260137297,0.0061154665556253,0.0065604622146018,0.0053520893591083,0.0020689746418196,0.0017186155422712,1.0175997028127313,25.88503345195204,0.0257298052310943,0.0101788230240345,0.5672554059796091,0.0245988257229328,0.0718172639608383,0.0111824143166234,0.0365607817117966,0.0033929413184523,0.0040443346527527,0.0162426464049763,0.0076574426837718,19.489326765188835,26.17605633802816,25.151666666666664,27.40418118466899,0.3586600450725399,0.1564565402050948,0.1715894314661269,0.1362912049595843,3.260409549942876,0.0037684022876994,7.458307838474287,-0.0688356959354958,-0.0523061401022007,-0.0618595648543452,-0.0571191787111092,M1
736,189,868,1.3475625882171045,0.7391411588129501,0.6133333333333333,38.1443194676189,12.041594578792296,26.61731863610884,-9.250299438192744,0.5849589918383767,0.0141537145863343,0.1981217971732895,0.0046643472595695,0.0205422074571086,0.0019498966036441,0.0060401860760346,0.0420843361352743,0.0039199300875721,0.0166401577379101,0.0089493561289881,0.0331570178356119,0.0201671058586922,0.022624683038363,0.0178774400443116,0.0026931693818975,0.0009842397568445,0.0017599523318719,0.0046812472129849,0.0060151150646541,0.0044058638152015,0.0042900267746351,0.0016583047011741,0.0091767853973146,0.0005702442382012,0.0066417314528073,0.0071987458821792,0.0030652972380691,0.002604690170324,0.9881942078936844,28.78967409976758,0.0254470612853765,0.0130062773823738,0.6548272105090878,0.018378434702754,0.0718172639608383,0.0106257441708998,0.0391164050268581,0.0031101964414119,0.0037481315524467,0.0186007560988654,0.0078230414066453,29.5698051948052,30.786206896551725,23.61823802163833,30.31795716639209,0.2586446196310548,0.2127079887126584,0.4051300308430482,0.245000101888906,3.5691901258873457,0.0024845307047523,7.61109805830781,-0.0703631437337283,-0.0672182489740078,-0.0882288621645238,-0.0664923981587776,M1
1201,267,171,1.7953969023928649,0.7248053591141387,0.5719047619047619,51.855572733054494,12.649110640673518,37.0999258002226,-70.99294346523462,0.5735643065677364,0.0409077489352677,0.1415283725990689,0.0310482056948052,0.0556225511406283,0.017381777546377,0.0451770052599246,0.0129940730504094,0.0094295129739416,0.0324445154392205,0.0287252524911412,0.008519212875127,0.00692159836256,0.0122677922021927,0.0078233666521071,0.007405080657147,0.012626973788927,0.0069744227054107,0.0065614128948061,0.0100594257340413,0.0056555275125509,0.0034625244350636,0.0100341242063184,0.0070115344008059,0.0046006284225172,0.0050356632884103,0.0160420439082184,0.0025614017394744,0.0067574667339376,2.7709022350609303,65.05484753102064,0.0381705947220325,0.010178830474615,0.4042056865942334,0.0322329439222812,0.0718172639608383,0.0196517889011413,0.0541672335811995,0.0110270595178008,0.0042661192873587,0.0195854351959119,0.1654240362811791,19.677142857142854,24.48324873096447,18.61845861084681,27.16700201207244,0.4990697402002352,0.3737816305489133,0.5290273582263907,0.3112064516420421,2.933129441611345,0.0091452289872551,5.3487682643405865,-0.1266035373749525,-0.0947259406626384,-0.1354999074200968,-0.0734471965728512,M1
