ImageNumber,ObjectNumber,Intensity_IntegratedIntensityEdge_Green,Intensity_IntegratedIntensity_Green,Intensity_LowerQuartileIntensity_Green,Intensity_MADIntensity_Green,Intensity_MassDisplacement_Green,Intensity_MaxIntensityEdge_Green,Intensity_MaxIntensity_Green,Intensity_MeanIntensityEdge_Green,Intensity_MeanIntensity_Green,Intensity_MedianIntensity_Green,Intensity_MinIntensityEdge_Green,Intensity_MinIntensity_Green,Intensity_StdIntensityEdge_Green,Intensity_StdIntensity_Green,Intensity_UpperQuartileIntensity_Green,Location_CenterMassIntensity_X_Green,Location_CenterMassIntensity_Y_Green,Location_CenterMassIntensity_Z_Green,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_Green,Location_MaxIntensity_Y_Green,Location_MaxIntensity_Z_Green,Number_Object_Number
1,1,5.946906408295035,46.21452711801976,0.022726668044924736,0.005893724039196968,1.4421650700157929,0.03703686222434044,0.09708313643932343,0.023505558926067333,0.03334381465946592,0.028620392084121704,0.014310196042060852,0.011221961118280888,0.004319780767013144,0.01472462156426641,0.03703686222434044,624.6063716555847,51.89868689936523,0.0,623.3888888888889,52.67171717171717,0,627.0,47.0,0.0,1
1,2,3.6506428122520447,73.41120615880936,0.03142588213086128,0.014310192316770554,1.6610822649410235,0.045736078172922134,0.1944490224123001,0.02401738692271082,0.05055868192755466,0.04293058440089226,0.014310196042060852,0.011221961118280888,0.005396618869017012,0.027171204517824923,0.060046274214982986,747.0738664539139,50.76350371163322,0.0,745.5151515151515,50.18939393939394,0,752.0,35.0,0.0,2
1,3,4.513407945632935,41.511932380497456,0.025532158091664314,0.005893724039196968,1.052299733248561,0.03423137217760086,0.0799674466252327,0.023507333050171535,0.03307723695657168,0.03142588213086128,0.011221961118280888,0.011221961118280888,0.0045682942178391275,0.010551258046936235,0.03984235227108002,204.08415441726024,72.0160924538413,0.0,203.14262948207173,72.48605577689243,0,209.0,70.0,0.0,3
1,4,4.037561651319265,66.00426485389471,0.028620392084121704,0.011504704132676125,0.8179058083425056,0.03984235227108002,0.13159725069999695,0.024322660550116056,0.041880878714400195,0.03703686222434044,0.014310196042060852,0.014310196042060852,0.00474628423593777,0.019045611996427864,0.05134705826640129,62.68268089955753,97.74556756211068,0.0,61.88769035532995,97.93781725888324,0,67.0,95.0,0.0,4
1,5,4.715491000562906,72.21602351032197,0.03703686222434044,0.01739843189716339,0.41304356419889643,0.07435646653175354,0.1944490224123001,0.031022967108966487,0.059193461893706535,0.05415254831314087,0.014310196042060852,0.014310196042060852,0.01305648045561241,0.030521728032694286,0.07155098021030426,734.3519210370139,109.89013346683652,0.0,734.2286885245902,109.49590163934427,0,732.0,115.0,0.0,5
1,6,3.48738079238683,29.925224690698087,0.03703686222434044,0.01711568608880043,0.556071302883562,0.07716196030378342,0.14310196042060852,0.0338580659455032,0.05391932376702358,0.05134705826640129,0.011221961118280888,0.011221961118280888,0.014046607631330539,0.022099201871215352,0.06846274435520172,752.1992713200282,116.81612834388025,0.0,752.4900900900901,117.29009009009009,0,747.0,120.0,0.0,6
1,7,2.8552094530314207,17.22649207804352,0.025532158091664314,0.005893724039196968,0.7555165751755596,0.03984235227108002,0.06565725803375244,0.025956449573012914,0.03281236586294004,0.03142588213086128,0.014310196042060852,0.011221961118280888,0.00541559735443592,0.009529310091616214,0.03914097975939512,93.2857560109898,123.86546554934019,0.0,93.83809523809524,124.38095238095238,0,88.0,118.0,0.0,7
1,8,3.9418922225013375,94.7173229008913,0.028620392084121704,0.014310194179415703,2.5768963218684813,0.04293058440089226,0.19164353609085083,0.0238902558939475,0.051956841964284864,0.03984235227108002,0.011221961118280888,0.011221961118280888,0.00472532445822841,0.03195937447601656,0.06565725803375244,537.5667086194076,136.14181487772106,0.0,539.0444322545255,134.03071859572134,0,533.0,140.0,0.0,8
1,9,3.0667522083967924,109.42098738998175,0.03984235227108002,0.025814905762672424,1.777752209243105,0.03984235227108002,0.20875921845436096,0.023410322201502232,0.0778243153556058,0.08277294039726257,0.011221961118280888,0.011221961118280888,0.0055415267656448155,0.03799854023067854,0.10297686606645584,406.81885932952855,161.90180081409002,0.0,408.4623044096728,162.5796586059744,0,409.0,152.0,0.0,9
1,10,11.40139436442405,395.0842920951545,0.028620392084121704,0.008699215948581696,0.4730490567734546,0.03984235227108002,0.1658286303281784,0.02355659992649597,0.042441109903873085,0.03703686222434044,0.011221961118280888,0.008416470140218735,0.004472922802340493,0.022235037097411526,0.04854156821966171,321.86073237471277,159.74128005718254,0.0,321.3938124395746,159.66537759157805,0,315.0,172.0,0.0,10
1,11,6.097576592117548,126.04094458185136,0.03142588213086128,0.014310196042060852,0.7038261728025398,0.03703686222434044,0.2031482458114624,0.023184701871169385,0.05131960284277336,0.045736078172922134,0.011221961118280888,0.011221961118280888,0.00466234531130583,0.028969146968336582,0.060046274214982986,797.1532271452039,173.14931301120828,0.0,797.8501628664495,173.24755700325733,0,796.0,176.0,0.0,11
1,12,5.146971098147333,46.59568366128951,0.025532158091664314,0.008416470140218735,1.3706244449119902,0.03703686222434044,0.10578235238790512,0.024051266813772582,0.03668951469392875,0.03142588213086128,0.011221961118280888,0.011221961118280888,0.004338762859881333,0.01540748173377022,0.04293058440089226,473.35065398380976,200.7104914502198,0.0,472.65748031496065,201.89291338582677,0,473.0,192.0,0.0,12
1,13,3.9786463361233473,100.09280114807189,0.03423137217760086,0.014310196042060852,1.6127704099147424,0.03703686222434044,0.15741215646266937,0.023967749012791247,0.05109382396532511,0.045736078172922134,0.014310196042060852,0.014310196042060852,0.0050089161074863085,0.024614302676198848,0.06285176426172256,154.36599955561383,210.2162965001819,0.0,155.80091883614088,210.95252679938744,0,156.0,208.0,0.0,13
1,14,5.600112663581967,127.05272480705753,0.025532158091664314,0.011504704132676125,2.6292325822002214,0.03984235227108002,0.1745278388261795,0.023932105399922937,0.044579903441072814,0.03703686222434044,0.014310196042060852,0.005610980559140444,0.004710886353535419,0.02683879830099707,0.05134705826640129,39.2057678396936,217.03802673734083,0.0,40.61964912280702,219.25473684210527,0,36.0,214.0,0.0,14
1,15,6.556329159066081,87.44678294286132,0.025532158091664314,0.008699214085936546,1.6430327573198238,0.03703686222434044,0.17733332514762878,0.023499387666903515,0.038934453670018396,0.03423137217760086,0.014310196042060852,0.008416470140218735,0.004544416237302105,0.02114873715041169,0.045736078172922134,610.9335403181619,223.68057453735872,0.0,611.2079252003562,225.3005342831701,0,612.0,214.0,0.0,15
1,16,3.943849492818117,58.91356430668384,0.025532158091664314,0.008699214085936546,2.7051797141904195,0.03703686222434044,0.18294431269168854,0.02347529460010784,0.04293991567542554,0.03423137217760086,0.011221961118280888,0.008416470140218735,0.00475312378484467,0.027597401709700372,0.04854156821966171,406.81736198110366,260.75016011451476,0.0,409.29008746355686,259.6530612244898,0,401.0,260.0,0.0,16
1,17,4.783627134747803,92.78009349107742,0.028620392084121704,0.008699215948581696,1.899138160989151,0.045736078172922134,0.1658286303281784,0.02403832731029047,0.04325412283966314,0.03703686222434044,0.011221961118280888,0.011221961118280888,0.005146575297227693,0.02359832878608102,0.04854156821966171,278.70416320127356,278.4887094263042,0.0,280.37342657342657,279.3944055944056,0,271.0,282.0,0.0,17
1,18,9.835472352802753,82.66119610331953,0.025532158091664314,0.008416470140218735,2.235104165547847,0.03423137217760086,0.15151843428611755,0.0236999333802476,0.03524997701634095,0.03142588213086128,0.014310196042060852,0.005610980559140444,0.004227013096897255,0.018531805718816935,0.03984235227108002,709.3737122143822,316.9859786862735,0.0,707.3701492537314,315.9953091684435,0,716.0,319.0,0.0,18
1,19,5.861327959224582,52.269672649912536,0.022726668044924736,0.005893724039196968,1.8730307823579788,0.03984235227108002,0.0799674466252327,0.02353946971576137,0.030656699501414978,0.028620392084121704,0.014310196042060852,0.011221961118280888,0.004472492516044399,0.010797332389620759,0.03423137217760086,145.18950172111585,315.64378823669125,0.0,145.3208211143695,313.77536656891493,0,147.0,329.0,0.0,19
1,20,4.8849294893443584,165.25098552927375,0.03703686222434044,0.01739843189716339,1.198176744216883,0.03984235227108002,0.14001372456550598,0.024063692065735755,0.055903581031554045,0.05415254831314087,0.014310196042060852,0.014310196042060852,0.005372085910362997,0.02301341913245831,0.07155098021030426,388.5613541766684,340.47102772515825,0.0,389.45094722598105,341.2736806495264,0,378.0,328.0,0.0,20
1,21,7.518722117878497,144.25920534972101,0.025532158091664314,0.008699214085936546,1.3011261652239647,0.03984235227108002,0.16021764278411865,0.023643780244900933,0.03873770283290038,0.03423137217760086,0.011221961118280888,0.008416470140218735,0.004599750159808874,0.018101482640215442,0.045736078172922134,288.594802274156,359.5865124792502,0.0,289.17883995703545,360.7491944146079,0,281.0,350.0,0.0,21
1,22,4.994321686215699,59.92671427782625,0.022726668044924736,0.005893724039196968,1.9539338732014786,0.03703686222434044,0.108587846159935,0.022805121854866203,0.03309039993253796,0.03142588213086128,0.011221961118280888,0.008416470140218735,0.004611480915203749,0.01413608506315069,0.03703686222434044,40.43206049829174,364.1348829861383,0.0,38.722252898950856,365.08061844284924,0,52.0,360.0,0.0,22
1,23,1.6001533484086394,9.705376497469842,0.022726668044924736,0.005893724039196968,0.4234763250882585,0.03984235227108002,0.07155098021030426,0.022224352061231103,0.028885049099612627,0.028620392084121704,0.008416470140218735,0.008416470140218735,0.005444026851685642,0.009612797090008875,0.03423137217760086,30.571348852938655,386.17090307477997,0.0,30.776785714285715,385.80059523809524,0,32.0,392.0,0.0,23
1,24,6.6744425017386675,136.85044327192008,0.03142588213086128,0.011504702270030975,0.8410776634953556,0.03703686222434044,0.12009254842996597,0.023584602479641933,0.04384826762958029,0.04293058440089226,0.014310196042060852,0.014310196042060852,0.004280833850485361,0.016468777363263947,0.05415254831314087,459.622896548754,392.1865800683357,0.0,460.46203140019225,392.1294456904838,0,450.0,385.0,0.0,24
1,25,1.7244431795552373,11.558394582010806,0.022726668044924736,0.005610981956124306,0.18459089339152765,0.03703686222434044,0.2631945013999939,0.022395365968249835,0.03283634824434888,0.025532158091664314,0.008416470140218735,0.008416470140218735,0.0053419933988469405,0.02873999372993769,0.03142588213086128,248.42620929820745,403.20223567340855,0.0,248.3693181818182,403.37784090909093,0,248.0,403.0,0.0,25
1,26,4.475262057036161,74.41298071667552,0.025532158091664314,0.008416470140218735,2.265925660834588,0.03423137217760086,0.1172870546579361,0.023804585409766817,0.03837698850782647,0.03142588213086128,0.014310196042060852,0.014310196042060852,0.004622780495024646,0.018665063085128088,0.04293058440089226,573.6304740618774,408.78041800538034,0.0,574.1572975760702,406.57658586900465,0,573.0,419.0,0.0,26
1,27,2.4867980666458607,65.6034967917949,0.04854156821966171,0.014310196042060852,0.782491002644823,0.03984235227108002,0.17172233760356903,0.02462176303609763,0.06457037085806584,0.06285176426172256,0.011221961118280888,0.011221961118280888,0.006103624869083235,0.02579303992257208,0.07716196030378342,370.60472580518064,426.5071339828737,0.0,370.005905511811,427.01082677165357,0,378.0,422.0,0.0,27
1,28,8.513649992644787,168.59732898604125,0.028620392084121704,0.01711568608880043,2.5358559896918904,0.03703686222434044,0.21156470477581024,0.02300986484498591,0.05110558623402281,0.045736078172922134,0.005610980559140444,0.005610980559140444,0.004641661099280165,0.03009668040103485,0.06285176426172256,213.0254185708106,421.4080198116569,0.0,215.3543498029706,422.4113367687178,0,209.0,430.0,0.0,28
1,29,4.869183635339141,67.61437760852277,0.025532158091664314,0.008416470140218735,1.8195955992457984,0.03984235227108002,0.1658286303281784,0.02329752935568967,0.038006957621429326,0.03142588213086128,0.008416470140218735,0.008416470140218735,0.004782517262847573,0.020583564713981088,0.04293058440089226,679.7252233088986,439.50734216819865,0.0,679.7571669477235,437.68802698145026,0,678.0,444.0,0.0,29
